PR,imm_duration,strain,new_mouse ,old_mouse,plate,new_gc(2024_12),old_gc,uid,node,cell_type,hc_barcode,lc_barcode,old_uid
2.01,d15,wt,1,1,2,1,1A,D15_M1_GC1,RP,GC,9,9,PR2.01_mouse1_GC1A
2.01,d15,wt,1,1,3,2,1C,D15_M1_GC2,RI,GC,2,1,PR2.01_mouse1_GC1C
2.01,d15,wt,1,1,4,3,1D,D15_M1_GC3,LI,GC,14,2,PR2.01_mouse1_GC1D
2.01,d15,wt,2,2,5,4,2A,D15_M2_GC4,RP,GC,10,11,PR2.01_mouse2_GC2A
2.01,d15,wt,3,3,6,5,3A,D15_M3_GC5,RP,GC,7,4,PR2.01_mouse3_GC3A
2.01,d15,wt,3,3,7,6,3B,D15_M3_GC6,LP,GC,8,15,PR2.01_mouse3_GC3B
2.01,d15,wt,4,4,8,7,4A,D15_M4_GC7,RP,GC,6,16,PR2.01_mouse4_GC4A
2.01,d15,wt,4,4,9,8,4B,D15_M4_GC8,LP,GC,4,3,PR2.01_mouse4_GC4B
2.01,d15,wt,5,5,10,9,5B,D15_M5_GC9,LP,GC,5,5,PR2.01_mouse5_GC5B
2.01,d15,wt,5,5,11,10,5D,D15_M5_GC10,LI,GC,3,12,PR2.01_mouse5_GC5D
2.01,d15,wt,6,6,12,11,6A,D15_M6_GC11,RP,GC,15,14,PR2.01_mouse6_GC6A
2.01,d15,wt,6,6,13,12,6B,D15_M6_GC12,LP,GC,1,13,PR2.01_mouse6_GC6B
2.01,d15,wt,6,6,14,13,6C,D15_M6_GC13,RI,GC,11,6,PR2.01_mouse6_GC6C
2.01,d15,wt,6,6,15,14,6D,D15_M6_GC14,LI,GC,13,8,PR2.01_mouse6_GC6D
2.02,d15,wt,7,7,7,15,7C,D15_M7_GC15,RI,GC,7,7,PR2.02_mouse7_GC7C
2.02,d15,wt,7,7,9,16,7A,D15_M7_GC16,RP,GC,9,9,PR2.02_mouse7_GC7A
2.02,d15,wt,8,8,2,17,8C,D15_M8_GC17,RI,GC,2,2,PR2.02_mouse8_GC8C
2.01,d15,wt,9,9,16,18,9D,D15_M9_GC18,LI,GC,12,7,PR2.01_mouse9_GC9D
2.02,d15,wt,9,9,14,19,9C,D15_M9_GC19,RI,GC,14,14,PR2.02_mouse9_GC9C
2.01,d15,wt,10,10,1,20,10B,D15_M10_GC20,LP,GC,16,10,PR2.01_mouse10_GC10B
2.02,d15,wt,10,10,4,21,10C,D15_M10_GC21,RI,GC,4,4,PR2.02_mouse10_GC10C
2.02,d15,wt,10,10,8,22,10D,D15_M10_GC22,LI,GC,8,8,PR2.02_mouse10_GC10D
2.02,d15,wt,10,10,13,23,10A,D15_M10_GC23,RP,GC,13,13,PR2.02_mouse10_GC10A
2.02,d15,wt,11,11,3,24,11A,D15_M11_GC24,RP,GC,3,3,PR2.02_mouse11_GC11A
2.02,d15,wt,11,11,5,25,11C,D15_M11_GC25,RI,GC,5,5,PR2.02_mouse11_GC11C
2.02,d15,wt,11,11,6,26,11D,D15_M11_GC26,LI,GC,6,6,PR2.02_mouse11_GC11D
2.02,d15,wt,12,12,1,27,12A,D15_M12_GC27,RP,GC,1,1,PR2.02_mouse12_GC12A
2.02,d15,wt,12,12,11,28,12D,D15_M12_GC29,LI,GC,11,11,PR2.02_mouse12_GC12D
2.02,d15,wt,12,12,12,29,12C,D15_M12_GC30,RI,GC,12,12,PR2.02_mouse12_GC12C
2.03,d15,wt,13,1,3,30,2A,D15_M13_GC31,LP,GC,3,3,PR2.03_mouse1_GC2A
2.03,d15,wt,13,1,10,31,4A,D15_M13_GC32,LI,GC,10,10,PR2.03_mouse1_GC4A
2.04,d15,wt,13,1,6,32,1A,D15_M13_GC34,RP,GC,6,6,PR2.04_mouse1_GC1A
2.04,d15,wt,13,1,12,33,2B,D15_M13_GC35,LP,GC,12,12,PR2.04_mouse1_GC2B
2.03,d15,wt,14,2,2,34,6A,D15_M14_GC36,LP,GC,2,2,PR2.03_mouse2_GC6A
2.03,d15,wt,14,2,6,35,7B,D15_M14_GC37,RI,GC,6,6,PR2.03_mouse2_GC7B
2.03,d15,wt,14,2,12,36,5B,D15_M14_GC38,RP,GC,12,12,PR2.03_mouse2_GC5B
2.04,d15,wt,14,2,7,37,5A,D15_M14_GC39,RP,GC,7,7,PR2.04_mouse2_GC5A
2.03,d15,wt,15,3,1,38,10A,D15_M15_GC40,LP,GC,1,1,PR2.03_mouse3_GC10A
2.03,d15,wt,16,5,4,39,19A,D15_M16_GC41,RI,GC,4,4,PR2.03_mouse5_GC19A
2.04,d15,wt,16,5,15,40,17A,D15_M16_GC42,RP,GC,15,15,PR2.04_mouse5_GC17A
2.03,d15,wt,17,6,5,41,21B,D15_M17_GC43,LP,GC,5,5,PR2.03_mouse6_GC21B
2.04,d15,wt,17,6,9,42,22A,D15_M17_GC44,RI,GC,9,9,PR2.04_mouse6_GC22A
2.04,d15,wt,17,6,13,43,21A,D15_M17_GC45,LP,GC,13,13,PR2.04_mouse6_GC21A
2.04,d15,wt,17,6,14,44,22B,D15_M17_GC46,RI,GC,14,14,PR2.04_mouse6_GC22B
2.04,d15,wt,17,6,16,45,20B,D15_M17_GC47,RP,GC,16,16,PR2.04_mouse6_GC20B
2.03,d15,wt,18,7,7,46,25A,D15_M18_GC48,LP,GC,7,7,PR2.03_mouse7_GC25A
2.03,d15,wt,18,7,9,47,26B,D15_M18_GC49,RI,GC,9,9,PR2.03_mouse7_GC26B
2.04,d15,wt,18,7,8,48,25B,D15_M18_GC50,LP,GC,8,8,PR2.04_mouse7_GC25B
2.03,d15,wt,19,8,8,49,28A,D15_M19_GC51,RP,GC,8,8,PR2.03_mouse8_GC28A
2.03,d15,wt,19,8,11,50,30A,D15_M19_GC52,RI,GC,11,11,PR2.03_mouse8_GC30A
2.04,d15,wt,19,8,10,51,29B,D15_M19_GC53,LP,GC,10,10,PR2.04_mouse8_GC29B
2.04,d15,wt,19,8,11,52,28B,D15_M19_GC54,RP,GC,11,11,PR2.04_mouse8_GC28B
1.01,d20,wt,20,1,18,53,20,D20_M20_GC55,LB,GC,1.2.6,1.3.6,PR1.01_mouse1_GC20
1.03,d20,wt,20,1,15,54,16,D20_M20_GC56,LB,GC,1,1,PR1.03_mouse1_GC16
1.03,d20,wt,20,1,16,55,17,D20_M20_GC57,LB,GC,2,2,PR1.03_mouse1_GC17
1.04,d20,wt,20,1,2,56,1,D20_M20_GC58,RP,GC,5,5,PR1.04_mouse1_GC1
1.04,d20,wt,20,1,3,57,2,D20_M20_GC59,RP,GC,6,6,PR1.04_mouse1_GC2
1.04,d20,wt,20,1,7,58,6,D20_M20_GC60,LP,GC,8,8,PR1.04_mouse1_GC6
1.04,d20,wt,20,1,14,59,14,D20_M20_GC61,RB,GC,10,10,PR1.04_mouse1_GC14
1.04,d20,wt,20,1,13,60,15,D20_M20_GC62,RB,GC,9,9,PR1.04_mouse1_GC15
1.05,d20,wt,20,1,11,61,13,D20_M20_GC63,RB,GC,1,1,PR1.05_mouse1_GC13
1.05,d20,wt,20,1,17,62,18,D20_M20_GC64,LB,GC,2,2,PR1.05_mouse1_GC18
1.06,d20,wt,20,1,12,63,19,D20_M20_GC65,LB,GC,6,6,PR1.06_mouse1_GC19
1.07,d20,wt,20,1,9,64,11,D20_M20_GC66,RB,GC,1,1,PR1.07_mouse1_GC11
1.07,d20,wt,20,1,10,65,12,D20_M20_GC67,RB,GC,2,2,PR1.07_mouse1_GC12
1.08,d20,wt,20,1,4,66,3,D20_M20_GC68,RP,GC,5,5,PR1.08_mouse1_GC3
1.08,d20,wt,20,1,5,67,4,D20_M20_GC69,LP,GC,6,6,PR1.08_mouse1_GC4
1.08,d20,wt,20,1,6,68,5,D20_M20_GC70,LP,GC,7,7,PR1.08_mouse1_GC5
1.08,d20,wt,20,1,8,69,7,D20_M20_GC71,RI,GC,8,8,PR1.08_mouse1_GC7
1.01,d20,wt,21,2,32,70,32,D20_M21_GC72,LB,GC,4,5,PR1.01_mouse2_GC32
1.02,d20,wt,21,2,34,71,38,D20_M21_GC73,LA,GC,13,13,PR1.02_mouse2_GC38
1.03,d20,wt,21,2,30,72,30,D20_M21_GC74,RB,GC,3,3,PR1.03_mouse2_GC30
1.03,d20,wt,21,2,31,73,31,D20_M21_GC75,RB,GC,4,4,PR1.03_mouse2_GC31
1.03,d20,wt,21,2,35,74,39,D20_M21_GC76,LA,GC,5,5,PR1.03_mouse2_GC39
1.05,d20,wt,21,2,21,75,21,D20_M21_GC77,RP,GC,4,4,PR1.05_mouse2_GC21
1.05,d20,wt,21,2,23,76,23,D20_M21_GC78,RP,GC,5,5,PR1.05_mouse2_GC23
1.05,d20,wt,21,2,24,77,24,D20_M21_GC79,LP,GC,6,6,PR1.05_mouse2_GC24
1.05,d20,wt,21,2,25,78,25,D20_M21_GC80,LP,GC,11,11,PR1.05_mouse2_GC25
1.05,d20,wt,21,2,26,79,26,D20_M21_GC81,LP,GC,12,12,PR1.05_mouse2_GC26
1.07,d20,wt,21,2,28,80,28,D20_M21_GC82,RB,GC,3,3,PR1.07_mouse2_GC28
1.07,d20,wt,21,2,29,81,29,D20_M21_GC83,RB,GC,4,4,PR1.07_mouse2_GC29
1.07,d20,wt,21,2,33,82,34,D20_M21_GC84,LB,GC,5,5,PR1.07_mouse2_GC34
1.08,d20,wt,21,2,22,83,22,D20_M21_GC85,RP,GC,9,9,PR1.08_mouse2_GC22
1.08,d20,wt,21,2,36,84,40,D20_M21_GC86,LA,GC,10,10,PR1.08_mouse2_GC40
1.02,d20,wt,22,3,51,85,55,D20_M22_GC87,RB,GC,16,16,PR1.02_mouse3_GC55
1.02,d20,wt,22,3,52,86,58,D20_M22_GC88,LB,GC,5,5,PR1.02_mouse3_GC58
1.02,d20,wt,22,3,63,87,72,D20_M22_GC89,RI,GC,6,6,PR1.02_mouse3_GC72
1.03,d20,wt,22,3,44,88,46,D20_M22_GC90,LP,GC,7,7,PR1.03_mouse3_GC46
1.03,d20,wt,22,3,48,89,56,D20_M22_GC91,RB,GC,10,10,PR1.03_mouse3_GC56
1.03,d20,wt,22,3,50,90,59,D20_M22_GC92,LB,GC,11,11,PR1.03_mouse3_GC59
1.06,d20,wt,22,3,57,91,66,D20_M22_GC93,LA,GC,9,9,PR1.06_mouse3_GC66
1.07,d20,wt,22,3,37,92,41,D20_M22_GC94,RP,GC,6,6,PR1.07_mouse3_GC41
1.07,d20,wt,22,3,41,93,43,D20_M22_GC95,RP,GC,7,7,PR1.07_mouse3_GC43
1.07,d20,wt,22,3,42,94,44,D20_M22_GC96,LP,GC,8,8,PR1.07_mouse3_GC44
1.07,d20,wt,22,3,43,95,45,D20_M22_GC97,LP,GC,9,9,PR1.07_mouse3_GC45
1.07,d20,wt,22,3,55,96,64,D20_M22_GC98,RA,GC,11,11,PR1.07_mouse3_GC64
1.07,d20,wt,22,3,56,97,65,D20_M22_GC99,LA,GC,12,12,PR1.07_mouse3_GC65
1.08,d20,wt,22,3,39,98,42,D20_M22_GC100,RP,GC,11,11,PR1.08_mouse3_GC42
1.08,d20,wt,22,3,49,99,57,D20_M22_GC101,LB,GC,12,12,PR1.08_mouse3_GC57
1.02,d20,wt,23,4,45,100,47,D20_M23_GC102,RP,GC,14,14,PR1.02_mouse4_GC47
1.02,d20,wt,23,4,46,101,48,D20_M23_GC103,RP,GC,15,15,PR1.02_mouse4_GC48
1.02,d20,wt,23,4,64,102,73,D20_M23_GC104,LI,GC,7,7,PR1.02_mouse4_GC73
1.03,d20,wt,23,4,47,103,50,D20_M23_GC105,LP,GC,8,8,PR1.03_mouse4_GC50
1.04,d20,wt,23,4,59,104,68,D20_M23_GC106,RA,GC,11,11,PR1.04_mouse4_GC68
1.04,d20,wt,23,4,60,105,69,D20_M23_GC107,RA,GC,12,12,PR1.04_mouse4_GC69
1.04,d20,wt,23,4,61,106,70,D20_M23_GC108,RA,GC,13,13,PR1.04_mouse4_GC70
1.07,d20,wt,23,4,53,107,63,D20_M23_GC109,LB,GC,10,10,PR1.07_mouse4_GC63
1.08,d20,wt,23,4,58,108,67,D20_M23_GC110,RA,GC,13,13,PR1.08_mouse4_GC67
1.08,d20,wt,23,4,62,109,71,D20_M23_GC111,LA,GC,14,14,PR1.08_mouse4_GC71
1.02,d20,wt,24,5,69,110,78,D20_M24_GC112,LP,GC,10,10,PR1.02_mouse5_GC78
1.02,d20,wt,24,5,73,111,82,D20_M24_GC113,RP,GC,11,11,PR1.02_mouse5_GC82
1.02,d20,wt,24,5,74,112,83,D20_M24_GC114,RP,GC,12,12,PR1.02_mouse5_GC83
1.04,d20,wt,24,5,70,113,79,D20_M24_GC115,LP,GC,14,14,PR1.04_mouse5_GC79
1.04,d20,wt,24,5,71,114,80,D20_M24_GC116,LP,GC,15,15,PR1.04_mouse5_GC80
1.04,d20,wt,24,5,72,115,81,D20_M24_GC117,RP,GC,16,16,PR1.04_mouse5_GC81
1.02,d20,wt,25,6,65,116,74,D20_M25_GC118,RP,GC,8,8,PR1.02_mouse6_GC74
1.03,d20,wt,25,6,68,117,77,D20_M25_GC119,RP,GC,9,9,PR1.03_mouse6_GC77
1.08,d20,wt,25,6,66,118,75,D20_M25_GC120,RP,GC,15,15,PR1.08_mouse6_GC75
1.08,d20,wt,25,6,67,119,76,D20_M25_GC121,RP,GC,16,16,PR1.08_mouse6_GC76
1.05,w10,wt,26,7,83,120,90,W10_M26_GC122,RP,LN,16,16,PR1.05_mouse7_GC90
1.05,w10,wt,26,7,83,121,91,W10_M26_GC123,LP,LN,16,16,PR1.05_mouse7_GC91
1.05,w10,wt,26,7,83,122,92,W10_M26_GC124,RI,LN,16,16,PR1.05_mouse7_GC92
1.05,w10,wt,26,7,83,123,93,W10_M26_GC125,LI,GC,16,16,PR1.05_mouse7_GC93
1.05,w10,wt,27,8,78,124,85,W10_M27_GC126,LP,LN,13,13,PR1.05_mouse8_GC85
1.05,w10,wt,27,8,79,125,86,W10_M27_GC127,RI,LN,14,14,PR1.05_mouse8_GC86
1.05,w10,wt,27,8,82,126,89,W10_M27_GC128,LB,LN,15,15,PR1.05_mouse8_GC89
1.06,w10,wt,27,8,77,127,84,W10_M27_GC129,RP,LN,14,14,PR1.06_mouse8_GC84
1.06,w10,wt,27,8,80,128,87,W10_M27_GC130,LI,LN,15,15,PR1.06_mouse8_GC87
1.06,w10,wt,27,8,81,129,88,W10_M27_GC131,RB,LN,16,16,PR1.06_mouse8_GC88
1.09,d20,LMP2A,28,11,111,130,111,LMP2A_D20_M28_GC132,RP,GC,1,1,PR1.09_mouse11_GC111
1.09,d20,LMP2A,28,11,112,131,112,LMP2A_D20_M28_GC133,RP,GC,2,2,PR1.09_mouse11_GC112
1.09,d20,LMP2A,28,11,113,132,113,LMP2A_D20_M28_GC134,LP,GC,3,3,PR1.09_mouse11_GC113
1.09,d20,LMP2A,28,11,114,133,114,LMP2A_D20_M28_GC135,LP,GC,4,4,PR1.09_mouse11_GC114
1.09,d20,LMP2A,28,11,115,134,115,LMP2A_D20_M28_GC136,RB,GC,5,5,PR1.09_mouse11_GC115
1.09,d20,LMP2A,28,11,116,135,116,LMP2A_D20_M28_GC137,RB,GC,6,6,PR1.09_mouse11_GC116
1.09,d20,LMP2A,28,11,117,136,117,LMP2A_D20_M28_GC138,RB,GC,7,7,PR1.09_mouse11_GC117
1.09,d20,LMP2A,28,11,118,137,118,LMP2A_D20_M28_GC139,LB,GC,8,8,PR1.09_mouse11_GC118
1.09,d20,LMP2A,28,11,119,138,119,LMP2A_D20_M28_GC140,LB,GC,9,9,PR1.09_mouse11_GC119
1.09,d20,LMP2A,28,11,120,139,120,LMP2A_D20_M28_GC141,LB,GC,10,10,PR1.09_mouse11_GC120
1.1,d20,LMP2A,28,11,121,140,121,LMP2A_D20_M28_GC142,LB,GC,1,1,PR1.10_mouse11_GC121
1.1,d20,LMP2A,28,11,122,141,122,LMP2A_D20_M28_GC143,LA,GC,2,2,PR1.10_mouse11_GC122
1.1,d20,LMP2A,29,12,123,142,123,LMP2A_D20_M29_GC144,RP,GC,3,3,PR1.10_mouse12_GC123
1.1,d20,LMP2A,29,12,124,143,124,LMP2A_D20_M29_GC145,LP,GC,4,4,PR1.10_mouse12_GC124
1.1,d20,LMP2A,29,12,125,144,125,LMP2A_D20_M29_GC146,RB,GC,5,5,PR1.10_mouse12_GC125
1.1,d20,LMP2A,29,12,126,145,126,LMP2A_D20_M29_GC147,RB,GC,6,6,PR1.10_mouse12_GC126
1.1,d20,LMP2A,29,12,127,146,127,LMP2A_D20_M29_GC148,RB,GC,7,7,PR1.10_mouse12_GC127
1.1,d20,LMP2A,29,12,128,147,128,LMP2A_D20_M29_GC149,LB,GC,8,8,PR1.10_mouse12_GC128
1.1,d20,LMP2A,29,12,129,148,129,LMP2A_D20_M29_GC150,LB,GC,9,9,PR1.10_mouse12_GC129
1.1,d20,LMP2A,29,12,130,149,130,LMP2A_D20_M29_GC151,LA,GC,10,10,PR1.10_mouse12_GC130
2.02,d15,wt,12,12,10,150,12B,D15_M12_GC28,LP,GC,10,10,PR2.02_mouse12_GC12B
2.04,d15,wt,13,1,5,151,1B,D15_M13_GC33,RP,GC,5,5,PR2.04_mouse1_GC1B