uid,ngs_id,imm_duration,mouse,gc,strain,node,cell_type,plate,hc_barcode,lc_barcode,row,col
D15_M1_GC1,PR-2-01,d15,1,1,wt,RP,GC,2,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M1_GC2,PR-2-01,d15,1,2,wt,RI,GC,3,2,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M1_GC3,PR-2-01,d15,1,3,wt,LI,GC,4,14,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M2_GC4,PR-2-01,d15,2,4,wt,RP,GC,5,10,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M3_GC5,PR-2-01,d15,3,5,wt,RP,GC,6,7,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M3_GC6,PR-2-01,d15,3,6,wt,LP,GC,7,8,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M4_GC7,PR-2-01,d15,4,7,wt,RP,GC,8,6,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M4_GC8,PR-2-01,d15,4,8,wt,LP,GC,9,4,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M5_GC9,PR-2-01,d15,5,9,wt,LP,GC,10,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M5_GC10,PR-2-01,d15,5,10,wt,LI,GC,11,3,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC11,PR-2-01,d15,6,11,wt,RP,GC,12,15,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC12,PR-2-01,d15,6,12,wt,LP,GC,13,1,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC13,PR-2-01,d15,6,13,wt,RI,GC,14,11,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC14,PR-2-01,d15,6,14,wt,LI,GC,15,13,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M7_GC15,PR-2-02,d15,7,15,wt,RI,GC,7,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M7_GC16,PR-2-02,d15,7,16,wt,RP,GC,9,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M8_GC17,PR-2-02,d15,8,17,wt,RI,GC,2,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M9_GC18,PR-2-01,d15,9,18,wt,LI,GC,16,12,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M9_GC19,PR-2-02,d15,9,19,wt,RI,GC,14,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC20,PR-2-01,d15,10,20,wt,LP,GC,1,16,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC21,PR-2-02,d15,10,21,wt,RI,GC,4,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC22,PR-2-02,d15,10,22,wt,LI,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC23,PR-2-02,d15,10,23,wt,RP,GC,13,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M11_GC24,PR-2-02,d15,11,24,wt,RP,GC,3,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M11_GC25,PR-2-02,d15,11,25,wt,RI,GC,5,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M11_GC26,PR-2-02,d15,11,26,wt,LI,GC,6,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M12_GC27,PR-2-02,d15,12,27,wt,RP,GC,1,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M12_GC28,PR-2-02,d15,12,28,wt,LI,GC,11,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M12_GC29,PR-2-02,d15,12,29,wt,RI,GC,12,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC30,PR-2-03,d15,13,30,wt,LP,GC,3,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC31,PR-2-03,d15,13,31,wt,LI,GC,10,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC32,PR-2-04,d15,13,32,wt,RP,GC,6,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC33,PR-2-04,d15,13,33,wt,LP,GC,12,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC34,PR-2-03,d15,14,34,wt,LP,GC,2,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC35,PR-2-03,d15,14,35,wt,RI,GC,6,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC36,PR-2-03,d15,14,36,wt,RP,GC,12,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC37,PR-2-04,d15,14,37,wt,RP,GC,7,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M15_GC38,PR-2-03,d15,15,38,wt,LP,GC,1,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M16_GC39,PR-2-03,d15,16,39,wt,RI,GC,4,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M16_GC40,PR-2-04,d15,16,40,wt,RP,GC,15,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC41,PR-2-03,d15,17,41,wt,LP,GC,5,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC42,PR-2-04,d15,17,42,wt,RI,GC,9,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC43,PR-2-04,d15,17,43,wt,LP,GC,13,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC44,PR-2-04,d15,17,44,wt,RI,GC,14,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC45,PR-2-04,d15,17,45,wt,RP,GC,16,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M18_GC46,PR-2-03,d15,18,46,wt,LP,GC,7,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M18_GC47,PR-2-03,d15,18,47,wt,RI,GC,9,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M18_GC48,PR-2-04,d15,18,48,wt,LP,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC49,PR-2-03,d15,19,49,wt,RP,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC50,PR-2-03,d15,19,50,wt,RI,GC,11,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC51,PR-2-04,d15,19,51,wt,LP,GC,10,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC52,PR-2-04,d15,19,52,wt,RP,GC,11,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC53,PR-1-01,d20,20,53,wt,LB,GC,18,1.2.6,1.3.6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC54,PR-1-03,d20,20,54,wt,LB,GC,15,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC55,PR-1-03,d20,20,55,wt,LB,GC,16,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC56,PR-1-04,d20,20,56,wt,RP,GC,2,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC57,PR-1-04,d20,20,57,wt,RP,GC,3,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC58,PR-1-04,d20,20,58,wt,LP,GC,7,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC59,PR-1-04,d20,20,59,wt,RB,GC,14,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC60,PR-1-04,d20,20,60,wt,RB,GC,13,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC61,PR-1-05,d20,20,61,wt,RB,GC,11,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC62,PR-1-05,d20,20,62,wt,LB,GC,17,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC63,PR-1-06,d20,20,63,wt,LB,GC,12,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC64,PR-1-07,d20,20,64,wt,RB,GC,9,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC65,PR-1-07,d20,20,65,wt,RB,GC,10,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC66,PR-1-08,d20,20,66,wt,RP,GC,4,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC67,PR-1-08,d20,20,67,wt,LP,GC,5,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC68,PR-1-08,d20,20,68,wt,LP,GC,6,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC69,PR-1-08,d20,20,69,wt,RI,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC70,PR-1-01,d20,21,70,wt,LB,GC,32,4,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC71,PR-1-02,d20,21,71,wt,LA,GC,34,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC72,PR-1-03,d20,21,72,wt,RB,GC,30,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC73,PR-1-03,d20,21,73,wt,RB,GC,31,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC74,PR-1-03,d20,21,74,wt,LA,GC,35,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC75,PR-1-05,d20,21,75,wt,RP,GC,21,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC76,PR-1-05,d20,21,76,wt,RP,GC,23,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC77,PR-1-05,d20,21,77,wt,LP,GC,24,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC78,PR-1-05,d20,21,78,wt,LP,GC,25,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC79,PR-1-05,d20,21,79,wt,LP,GC,26,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC80,PR-1-07,d20,21,80,wt,RB,GC,28,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC81,PR-1-07,d20,21,81,wt,RB,GC,29,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC82,PR-1-07,d20,21,82,wt,LB,GC,33,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC83,PR-1-08,d20,21,83,wt,RP,GC,22,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M21_GC84,PR-1-08,d20,21,84,wt,LA,GC,36,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC85,PR-1-02,d20,22,85,wt,RB,GC,51,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC86,PR-1-02,d20,22,86,wt,LB,GC,52,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC87,PR-1-02,d20,22,87,wt,RI,GC,63,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC88,PR-1-03,d20,22,88,wt,LP,GC,44,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC89,PR-1-03,d20,22,89,wt,RB,GC,48,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC90,PR-1-03,d20,22,90,wt,LB,GC,50,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC91,PR-1-06,d20,22,91,wt,LA,GC,57,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC92,PR-1-07,d20,22,92,wt,RP,GC,37,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC93,PR-1-07,d20,22,93,wt,RP,GC,41,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC94,PR-1-07,d20,22,94,wt,LP,GC,42,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC95,PR-1-07,d20,22,95,wt,LP,GC,43,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC96,PR-1-07,d20,22,96,wt,RA,GC,55,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC97,PR-1-07,d20,22,97,wt,LA,GC,56,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC98,PR-1-08,d20,22,98,wt,RP,GC,39,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M22_GC99,PR-1-08,d20,22,99,wt,LB,GC,49,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC100,PR-1-02,d20,23,100,wt,RP,GC,45,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC101,PR-1-02,d20,23,101,wt,RP,GC,46,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC102,PR-1-02,d20,23,102,wt,LI,GC,64,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC103,PR-1-03,d20,23,103,wt,LP,GC,47,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC104,PR-1-04,d20,23,104,wt,RA,GC,59,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC105,PR-1-04,d20,23,105,wt,RA,GC,60,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC106,PR-1-04,d20,23,106,wt,RA,GC,61,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC107,PR-1-07,d20,23,107,wt,LB,GC,53,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC108,PR-1-08,d20,23,108,wt,RA,GC,58,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M23_GC109,PR-1-08,d20,23,109,wt,LA,GC,62,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M24_GC110,PR-1-02,d20,24,110,wt,LP,GC,69,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M24_GC111,PR-1-02,d20,24,111,wt,RP,GC,73,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M24_GC112,PR-1-02,d20,24,112,wt,RP,GC,74,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M24_GC113,PR-1-04,d20,24,113,wt,LP,GC,70,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M24_GC114,PR-1-04,d20,24,114,wt,LP,GC,71,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M24_GC115,PR-1-04,d20,24,115,wt,RP,GC,72,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M25_GC116,PR-1-02,d20,25,116,wt,RP,GC,65,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M25_GC117,PR-1-03,d20,25,117,wt,RP,GC,68,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M25_GC118,PR-1-08,d20,25,118,wt,RP,GC,66,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M25_GC119,PR-1-08,d20,25,119,wt,RP,GC,67,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
W10_M26_GC120,PR-1-05,w10,26,120,wt,RP,LN,83,16,16,A.B.C.D.E.F.G.H,1.2.3
W10_M26_GC121,PR-1-05,w10,26,121,wt,LP,LN,83,16,16,A.B.C.D.E.F.G.H,4.5.6
W10_M26_GC122,PR-1-05,w10,26,122,wt,RI,LN,83,16,16,A.B.C.D.E.F.G.H,7.8.9
W10_M26_GC123,PR-1-05,w10,26,123,wt,LI,GC,83,16,16,A.B.C.D.E.F.G.H,10.11.12
W10_M27_GC124,PR-1-05,w10,27,124,wt,LP,LN,78,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
W10_M27_GC125,PR-1-05,w10,27,125,wt,RI,LN,79,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
W10_M27_GC126,PR-1-05,w10,27,126,wt,LB,LN,82,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
W10_M27_GC127,PR-1-06,w10,27,127,wt,RP,LN,77,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
W10_M27_GC128,PR-1-06,w10,27,128,wt,LI,LN,80,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
W10_M27_GC129,PR-1-06,w10,27,129,wt,RB,LN,81,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC130,PR-1-09,d20,28,130,LMP2A,RP,GC,111,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC131,PR-1-09,d20,28,131,LMP2A,RP,GC,112,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC132,PR-1-09,d20,28,132,LMP2A,LP,GC,113,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC133,PR-1-09,d20,28,133,LMP2A,LP,GC,114,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC134,PR-1-09,d20,28,134,LMP2A,RB,GC,115,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC135,PR-1-09,d20,28,135,LMP2A,RB,GC,116,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC136,PR-1-09,d20,28,136,LMP2A,RB,GC,117,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC137,PR-1-09,d20,28,137,LMP2A,LB,GC,118,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC138,PR-1-09,d20,28,138,LMP2A,LB,GC,119,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC139,PR-1-09,d20,28,139,LMP2A,LB,GC,120,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC140,PR-1-10,d20,28,140,LMP2A,LB,GC,121,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M28_GC141,PR-1-10,d20,28,141,LMP2A,LA,GC,122,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC142,PR-1-10,d20,29,142,LMP2A,RP,GC,123,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC143,PR-1-10,d20,29,143,LMP2A,LP,GC,124,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC144,PR-1-10,d20,29,144,LMP2A,RB,GC,125,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC145,PR-1-10,d20,29,145,LMP2A,RB,GC,126,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC146,PR-1-10,d20,29,146,LMP2A,RB,GC,127,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC147,PR-1-10,d20,29,147,LMP2A,LB,GC,128,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC148,PR-1-10,d20,29,148,LMP2A,LB,GC,129,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M29_GC149,PR-1-10,d20,29,149,LMP2A,LA,GC,130,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12